-0.3255179584,-0.495587501031,-0.486932425387,-0.48826172274,-0.488298009683,-0.48826300344,-0.48826172274,-0.487975611437,-0.48983947588,-0.48826172274,-0.42669229623,-0.42666419465,-0.48826172274,-0.490676902948,-0.483361332091,-0.48826172274,-0.307125583845,-0.334544177804,-0.3255179584,-0.455895866499,-0.309406146139,-0.3255179584,-0.375775750574,-0.499923368528,-0.48826172274,-0.487930759869,-0.488320117091,-0.48826172274,-0.48832052333,-0.48792858095,-0.48826172274,-0.5,-0.375353446534,-0.3255179584,-0.324272245475,-0.325750687064,-0.3255179584,-0.325268340327,-0.326859377972,-0.3255179584,-0.272310218416,-0.169619895695,-3.04297201491e-05,0.045054168475,0.174104032738,0.16271333462,0.212415494005,0.336016096737,0.32545709896,0.374957246901,0.5,0.4882008633,0.487865683152,0.488261684618,0.4882008633,0.488199156307,0.488201062274,0.4882008633,0.488204886794,0.488178642972,0.4882008633,0.48898312816,0.483889920786,0.4882008633,0.296386053574,0.441508870269,0.4882008633,0.4894196241,0.487640492554,0.4882008633,-17.9018140774,-17.4738489127,-17.0164234088,-16.762607727,-16.308325299,-16.0300557792,-15.4606576123,-15.223563746,-14.642673749,-14.1587074976,-13.546113907,-12.376128266,-11.7175510325,-10.8897533271,-10.2371127535,-9.7646258604,-9.17088536308,-8.52292924067,-7.81170068832,-6.88021811128,-5.99683558356,-5.37054422322,-4.54001760928,-3.90913482269,-3.2548752868,-2.59527663972,-2.04820830235,-1.6274376434,-0.983896896859,-0.21817590688,0.48823129302,0.972193936003,1.51709206888,2.11566893642,2.77776165959,3.3010572101,3.90585034416,4.34306776797,4.72980498002,5.6960317519,6.56547718682,7.34024798064,7.97444445266,8.74028035073,9.39290750653,9.92736962474,10.5398631873,10.9776764201,11.2293197395,11.7982922143,12.0815396447,12.5312698542,12.9657645155,13.3988026414,13.8332199689,14.2796248246,14.5845257211,14.9724263193,15.1876559114,15.3899671079,15.786145141,15.9984668887,16.2209772891,16.4371201983,16.6540380094,16.8713823977,17.0880952557,17.2954251818,17.6235428235,17.9018140774
,-3.80303582e-01,-4.90206503e-01,-4.93466213e-01,-4.90470131e-01,-4.74870707e-01,-4.50994117e-01,-4.21121848e-01,-3.83240265e-01,-3.35431329e-01,-2.78395993e-01,-1.84854913e-01,-1.30489612e-01,-1.21968591e-01,-9.16479144e-02,-6.24947718e-02,-4.52781924e-02,5.66399680e-02,4.73685102e-02,5.73215180e-02,1.92850379e-03,8.30264885e-02,8.08808763e-02,6.07485207e-02,3.83157360e-05,5.33745535e-03,2.46245013e-03,1.95221089e-04,-2.09740194e-05,-7.45652453e-04,-2.17199692e-03,-9.46892588e-03,-1.85216967e-02,4.30381374e-02,6.73424008e-02,5.86669589e-02,4.18397829e-02,3.12672926e-02,3.04514312e-02,3.40050921e-02,3.92841232e-02,6.68082294e-02,1.19100706e-01,2.07753981e-01,2.35327251e-01,3.03751204e-01,2.98901095e-01,3.22184391e-01,3.82730465e-01,3.81929421e-01,4.11308518e-01,4.74600154e-01,4.68700586e-01,4.69473666e-01,4.70142002e-01,4.70581927e-01,4.70581073e-01,4.70582026e-01,4.70581927e-01,4.73358391e-01,4.76705972e-01,4.79437196e-01,4.82330017e-01,4.82244451e-01,4.86104035e-01,3.90666966e-01,4.63228374e-01,4.87187851e-01,4.88595105e-01,4.86764520e-01,4.89396382e-01,-9.36121352e+00,-9.13029887e+00,-8.89883246e+00,-8.76631484e+00,-8.53534278e+00,-8.39630345e+00,-8.12562581e+00,-8.03694119e+00,-7.78973217e+00,-7.59836724e+00,-7.34974367e+00,-6.82310537e+00,-6.54414184e+00,-6.17755521e+00,-5.89379616e+00,-5.69221367e+00,-5.41734668e+00,-5.10696734e+00,-4.76049387e+00,-4.30184140e+00,-3.86070909e+00,-3.54533443e+00,-3.12754935e+00,-2.80980368e+00,-2.47578283e+00,-2.12815876e+00,-1.82545059e+00,-1.58325323e+00,-1.22639228e+00,-8.02736098e-01,-4.00188993e-01,-9.75079931e-02,2.28939947e-01,5.63973306e-01,9.31425682e-01,1.23842258e+00,1.59918079e+00,1.87444026e+00,2.11531869e+00,2.64244520e+00,3.12490944e+00,3.55951167e+00,3.91683999e+00,4.33672288e+00,4.70233287e+00,5.01452437e+00,5.36726555e+00,5.62358018e+00,5.77837817e+00,6.08956391e+00,6.26411741e+00,6.52460469e+00,6.77587251e+00,7.02795926e+00,7.28308047e+00,7.55122290e+00,7.75418930e+00,7.99449737e+00,8.14378066e+00,8.28601825e+00,8.52625942e+00,8.67433412e+00,8.82446300e+00,8.97223283e+00,9.12476621e+00,9.27045102e+00,9.39667325e+00,9.50641843e+00,9.67406271e+00,9.80154884e+00
,-4.14899063e-01,-4.74474868e-01,-4.34679167e-01,-4.20352401e-01,-4.02846309e-01,-3.77906830e-01,-3.36829600e-01,-3.08088720e-01,-2.56114732e-01,-2.15382986e-01,-1.49177075e-01,-1.20254447e-01,-1.24211958e-01,-1.08121942e-01,-8.68913695e-02,-7.18585753e-02,3.52086927e-02,3.64305147e-02,5.47719711e-02,-8.48616944e-03,6.40056757e-02,5.57877451e-02,3.07537371e-02,-3.09450738e-02,-2.55738763e-02,-2.58131296e-02,-2.67584521e-02,-1.83851436e-02,-1.91184374e-02,-2.71893631e-02,-3.08826795e-02,-3.92650003e-02,1.44436294e-02,3.95987800e-02,3.11790455e-02,3.84949013e-02,3.89182361e-02,3.88934630e-02,3.81639813e-02,3.88079259e-02,6.51011551e-02,1.15901872e-01,1.99695715e-01,2.22161236e-01,2.93378159e-01,2.98687123e-01,3.32504225e-01,3.95998588e-01,3.99147742e-01,4.23065633e-01,4.91870010e-01,4.84775555e-01,4.83257462e-01,4.86315706e-01,4.86336965e-01,4.86315744e-01,4.86321334e-01,4.86423302e-01,4.90795305e-01,4.85902502e-01,4.87028877e-01,4.90044014e-01,4.92211627e-01,4.94025616e-01,3.90759349e-01,4.63466173e-01,4.93867769e-01,4.87158576e-01,4.85378178e-01,4.93888177e-01,-9.27505709e+00,-9.07669988e+00,-8.85637204e+00,-8.76575817e+00,-8.54772039e+00,-8.43865391e+00,-8.21948269e+00,-8.15568075e+00,-7.90680324e+00,-7.72320720e+00,-7.45898800e+00,-6.92351171e+00,-6.62748027e+00,-6.25729949e+00,-5.95779802e+00,-5.72870413e+00,-5.49356632e+00,-5.18204385e+00,-4.79341835e+00,-4.31944265e+00,-3.84597068e+00,-3.52711291e+00,-3.10334575e+00,-2.77239171e+00,-2.41066183e+00,-2.03497472e+00,-1.73350636e+00,-1.49553755e+00,-1.12015129e+00,-6.83151741e-01,-2.69937196e-01,8.75227931e-03,3.00085270e-01,6.10590830e-01,9.83780282e-01,1.29815625e+00,1.65112735e+00,1.91456842e+00,2.14172790e+00,2.63677094e+00,3.11001776e+00,3.56209910e+00,3.91954738e+00,4.35832113e+00,4.72922120e+00,5.03224425e+00,5.38467764e+00,5.63867319e+00,5.78350634e+00,6.10625707e+00,6.25987949e+00,6.47065177e+00,6.75088909e+00,6.98874041e+00,7.24615297e+00,7.50011076e+00,7.67388101e+00,7.91785038e+00,8.10052497e+00,8.25725585e+00,8.47896479e+00,8.63426835e+00,8.77679619e+00,8.92980368e+00,9.06740708e+00,9.21582229e+00,9.31981583e+00,9.44111008e+00,9.67404899e+00,9.78357580e+00
,-4.15245404e-01,-4.74412900e-01,-4.34178844e-01,-4.20065286e-01,-4.02543460e-01,-3.77629183e-01,-3.36612661e-01,-3.07853363e-01,-2.55790377e-01,-2.15091400e-01,-1.48713597e-01,-1.19881219e-01,-1.23597102e-01,-1.07675658e-01,-8.64192738e-02,-7.16957168e-02,3.55078262e-02,3.71540554e-02,5.55658191e-02,-7.80053118e-03,6.47597129e-02,5.63345251e-02,3.12802646e-02,-3.03048419e-02,-2.48848756e-02,-2.51663504e-02,-2.59323952e-02,-1.77549904e-02,-1.83532439e-02,-2.64227814e-02,-3.01816834e-02,-3.83938773e-02,1.50319178e-02,4.01249639e-02,3.18132211e-02,3.88294545e-02,3.95744114e-02,3.93701295e-02,3.87438306e-02,3.93275479e-02,6.54984301e-02,1.16384572e-01,2.00049732e-01,2.22396019e-01,2.93521410e-01,2.98908078e-01,3.32661882e-01,3.96087558e-01,3.99253842e-01,4.23137408e-01,4.91897118e-01,4.84744693e-01,4.83226243e-01,4.86274139e-01,4.86346680e-01,4.86325696e-01,4.86324386e-01,4.86431416e-01,4.90825012e-01,4.85895145e-01,4.87020488e-01,4.90064882e-01,4.92199366e-01,4.94024119e-01,3.90896724e-01,4.63471731e-01,4.93854200e-01,4.87139974e-01,4.85373754e-01,4.93894841e-01,-9.33920297e+00,-9.08458813e+00,-8.83558595e+00,-8.77165293e+00,-8.52252517e+00,-8.42356905e+00,-8.24798780e+00,-8.16522485e+00,-7.91175821e+00,-7.73041757e+00,-7.45627275e+00,-6.92325009e+00,-6.60873195e+00,-6.27374181e+00,-5.97389087e+00,-5.73601745e+00,-5.49691360e+00,-5.17008303e+00,-4.79210839e+00,-4.33399568e+00,-3.82495168e+00,-3.53690968e+00,-3.09952961e+00,-2.77239427e+00,-2.41224902e+00,-2.03750051e+00,-1.73186516e+00,-1.49763710e+00,-1.11990045e+00,-6.82921134e-01,-2.71181932e-01,7.42436412e-03,2.99198601e-01,6.04570066e-01,9.85512006e-01,1.30497210e+00,1.64912809e+00,1.91974949e+00,2.14602554e+00,2.62979355e+00,3.09548806e+00,3.56724705e+00,3.90034496e+00,4.32234287e+00,4.71637256e+00,5.03786034e+00,5.39536911e+00,5.64011224e+00,5.78786338e+00,6.13130969e+00,6.26717718e+00,6.45154794e+00,6.76123230e+00,6.99610367e+00,7.22841995e+00,7.51489361e+00,7.64517432e+00,7.89489388e+00,8.10121186e+00,8.26504610e+00,8.48061909e+00,8.59642697e+00,8.74876754e+00,8.91815725e+00,9.10752854e+00,9.23376099e+00,9.31146116e+00,9.41595913e+00,9.69259301e+00,9.78410389e+00
,-4.44658484e-01,-4.86792404e-01,-4.66728293e-01,-4.53139635e-01,-4.32168493e-01,-3.98459635e-01,-3.39793332e-01,-2.80024147e-01,-2.14016407e-01,-1.58341899e-01,-8.60300453e-02,-3.40163262e-02,-3.31016853e-03,2.64648151e-02,5.44262409e-02,7.37667704e-02,1.37598532e-01,1.46786521e-01,1.68070423e-01,1.52416336e-01,2.08015759e-01,2.23421362e-01,2.26219165e-01,2.08314379e-01,2.18692061e-01,2.24478158e-01,2.26400882e-01,2.32414477e-01,2.32578023e-01,2.28383468e-01,2.25726945e-01,2.23444981e-01,2.55099838e-01,2.68960209e-01,2.64615347e-01,2.62534944e-01,2.53304449e-01,2.51276747e-01,2.49623734e-01,2.46020560e-01,2.51989264e-01,2.70644854e-01,3.11004701e-01,3.23848541e-01,3.62110383e-01,3.69103048e-01,3.88951683e-01,4.22311225e-01,4.23973909e-01,4.35697924e-01,4.67925382e-01,4.64469459e-01,4.66766693e-01,4.69181350e-01,4.64972924e-01,4.64392251e-01,4.65991193e-01,4.66972409e-01,4.71805138e-01,4.71277961e-01,4.69570720e-01,4.67031180e-01,4.68193145e-01,4.69078750e-01,4.17749990e-01,4.55860497e-01,4.72389290e-01,4.68098291e-01,4.64677708e-01,4.75360355e-01,-4.94366920e+00,-4.85589793e+00,-4.74306821e+00,-4.70967072e+00,-4.60135870e+00,-4.57881305e+00,-4.48702953e+00,-4.50855740e+00,-4.42526459e+00,-4.38679958e+00,-4.28797429e+00,-4.05779882e+00,-3.95029925e+00,-3.77984053e+00,-3.65570660e+00,-3.56141603e+00,-3.44540177e+00,-3.30769128e+00,-3.12614341e+00,-2.89344070e+00,-2.67756936e+00,-2.52767026e+00,-2.32380300e+00,-2.17082881e+00,-1.99864286e+00,-1.81183711e+00,-1.66063154e+00,-1.53732109e+00,-1.34080451e+00,-1.09909402e+00,-8.64498533e-01,-6.85321305e-01,-4.82627150e-01,-2.62712116e-01,-2.38723713e-02,1.88842093e-01,4.28349181e-01,6.15310349e-01,7.84169529e-01,1.09027348e+00,1.37321956e+00,1.64473272e+00,1.86875613e+00,2.14096011e+00,2.37644731e+00,2.56730453e+00,2.79662089e+00,2.98444009e+00,3.11774342e+00,3.32819224e+00,3.45283070e+00,3.61772618e+00,3.78760077e+00,3.96033570e+00,4.13424263e+00,4.30298812e+00,4.43749569e+00,4.59145867e+00,4.71743451e+00,4.83268659e+00,4.98654624e+00,5.08657278e+00,5.17178280e+00,5.25935977e+00,5.31165204e+00,5.39486775e+00,5.46131495e+00,5.50946305e+00,5.58508621e+00,5.66163717e+00
-0.47169837,-0.48289607,-0.45084121,-0.41391205,-0.37664049,-0.3338449,-0.27045023,-0.2043143,-0.11382666,-0.03283517,0.04645893,0.110581,0.15542118,0.19496487,0.22952516,0.25368556,0.29280423,0.30041921,0.31067929,0.29438472,0.30875393,0.302179,0.29560363,0.28164422,0.28607712,0.28992371,0.29275099,0.30130111,0.30509124,0.30313854,0.30189239,0.2965584,0.29696524,0.29593037,0.28303979,0.28476373,0.28356159,0.28358415,0.28270247,0.27909509,0.2890445,0.30877534,0.33559297,0.34516164,0.3690635,0.37743768,0.39224119,0.41406786,0.42230536,0.432533,0.46036505,0.46566668,0.47104337,0.47809601,0.48303649,0.48795444,0.49172113,0.49294257,0.49483118,0.48895696,0.48748337,0.48719857,0.48541355,0.47833095,0.44385479,0.45424092,0.45363047,0.44500145,0.44511602,0.46201256,-2.94478436,-2.89644914,-2.86508451,-2.85501445,-2.83860072,-2.85271713,-2.83817722,-2.90466729,-2.94043048,-2.9864617,-2.99614951,-2.93922131,-2.93617156,-2.88432465,-2.83833548,-2.81167961,-2.778659,-2.71485942,-2.59921144,-2.4663376,-2.3388407,-2.24356689,-2.12334137,-2.01455934,-1.87790783,-1.71990695,-1.58440558,-1.45854995,-1.28480325,-1.09712128,-0.91548677,-0.77801725,-0.64465038,-0.51031152,-0.35255165,-0.20114937,-0.03769938,0.10100337,0.22687008,0.43120695,0.63470949,0.82657545,1.00088885,1.18928805,1.36431351,1.50564505,1.66611411,1.79980978,1.89167578,2.02894801,2.1254203,2.23606923,2.36368589,2.48223857,2.60023189,2.71289384,2.81863361,2.94148647,3.03709716,3.14160615,3.25639324,3.34393887,3.42396288,3.50013662,3.57371481,3.63734418,3.68257334,3.73410447,3.80215176,3.83865683
-0.48173446,-0.47841047,-0.44709285,-0.42850234,-0.40477216,-0.37811312,-0.33771444,-0.29208429,-0.21837388,-0.15513069,-0.0878357,-0.02071285,0.05285959,0.11079851,0.16217911,0.20938089,0.25584086,0.27251226,0.28583224,0.27994095,0.29110951,0.29341429,0.292176,0.28669751,0.28951859,0.29169371,0.29139612,0.29604094,0.29541649,0.28969154,0.28830009,0.28643221,0.28841651,0.29434293,0.2893092,0.30038827,0.30420671,0.30406048,0.30344586,0.30708694,0.31739148,0.33007408,0.34016664,0.3446109,0.36782138,0.39024339,0.40996051,0.42821931,0.44129153,0.45278454,0.47126017,0.4714418,0.47078363,0.47329633,0.47332806,0.46681411,0.46380817,0.46839585,0.47750957,0.47454432,0.47844067,0.48948776,0.49888728,0.49906391,0.4775062,0.48280643,0.48847706,0.47847951,0.4698815,0.4698884,-1.86903551,-1.87598157,-1.87751011,-1.89102948,-1.88683799,-1.9060506,-1.91509677,-1.98040652,-2.02823546,-2.08570152,-2.12727449,-2.15317941,-2.20970887,-2.22781511,-2.2490488,-2.28835769,-2.32270947,-2.31429401,-2.23846639,-2.1679596,-2.10402512,-2.05744316,-1.99412655,-1.94158069,-1.8704494,-1.79747716,-1.74380584,-1.69108813,-1.6028811,-1.50203758,-1.39913935,-1.33275878,-1.27836856,-1.21201816,-1.10969486,-0.99990085,-0.87318627,-0.74161426,-0.60730787,-0.43983509,-0.26820954,-0.08248527,0.09482982,0.27840327,0.44968133,0.58838969,0.75137687,0.91225166,1.0399457,1.17785829,1.27670531,1.38409824,1.51688999,1.64309608,1.76058251,1.86378643,1.97342825,2.09586188,2.19561529,2.30523627,2.41170128,2.49983095,2.57048747,2.63477812,2.70514248,2.76733516,2.80686238,2.84682492,2.8949795,2.92146918
,-4.94269632e-01,-4.50224960e-01,-3.81289473e-01,-3.52787371e-01,-3.19608788e-01,-2.72579230e-01,-1.94612484e-01,-1.40587941e-01,-3.99795486e-02,3.59299182e-02,1.05475483e-01,1.60577847e-01,2.09798059e-01,2.42902687e-01,2.76990975e-01,3.10257990e-01,3.47965494e-01,3.75624822e-01,4.02252847e-01,4.01207814e-01,4.04909391e-01,4.04325357e-01,4.03762734e-01,4.01589765e-01,4.02587804e-01,4.03265438e-01,4.03129018e-01,4.19823674e-01,4.18936404e-01,4.03210437e-01,3.96182521e-01,3.90757079e-01,3.78100004e-01,3.80050069e-01,3.62829194e-01,3.78030039e-01,3.78931892e-01,3.78568307e-01,3.78765904e-01,3.78754551e-01,3.79938050e-01,3.82404287e-01,3.86152927e-01,3.87477554e-01,4.04628430e-01,4.25338185e-01,4.44178471e-01,4.51594536e-01,4.67397240e-01,4.67468422e-01,4.83721257e-01,4.81027401e-01,4.78412865e-01,4.83912093e-01,4.84023884e-01,4.83967293e-01,4.83983736e-01,4.84186396e-01,4.92551841e-01,4.83210568e-01,4.85344491e-01,4.90412265e-01,4.99244748e-01,4.98756393e-01,4.78202263e-01,4.83334666e-01,4.98440815e-01,4.84447733e-01,4.82666612e-01,4.98473867e-01,-1.79571245e+00,-1.80194329e+00,-1.77871944e+00,-1.84930607e+00,-1.83072737e+00,-1.86752345e+00,-2.00259514e+00,-2.08599193e+00,-2.11813578e+00,-2.20399124e+00,-2.25303074e+00,-2.29979712e+00,-2.32434791e+00,-2.39475119e+00,-2.41790675e+00,-2.38120531e+00,-2.48113573e+00,-2.45137228e+00,-2.34016764e+00,-2.26772669e+00,-2.12416289e+00,-2.06557099e+00,-1.98342929e+00,-1.89330967e+00,-1.76908879e+00,-1.62385875e+00,-1.51958095e+00,-1.43187690e+00,-1.28765226e+00,-1.14399751e+00,-9.91031475e-01,-8.88175622e-01,-8.10949866e-01,-7.43821490e-01,-6.01828748e-01,-4.45016364e-01,-2.97062950e-01,-1.65867680e-01,-6.00527812e-02,-1.56257879e-03,1.12065504e-01,2.89490093e-01,3.88665040e-01,5.44710679e-01,6.75021062e-01,8.03906061e-01,9.48400852e-01,1.05065381e+00,1.11744382e+00,1.25054562e+00,1.30370052e+00,1.28319528e+00,1.46200867e+00,1.52104902e+00,1.62704844e+00,1.71625520e+00,1.74588475e+00,1.84814055e+00,2.02937502e+00,2.14476762e+00,2.18517446e+00,2.28171532e+00,2.34612276e+00,2.46361411e+00,2.53061074e+00,2.62063220e+00,2.59716076e+00,2.63894427e+00,2.83854471e+00,2.74876769e+00
-0.49536191,-0.45003077,-0.37971142,-0.35188037,-0.31865262,-0.27170291,-0.19392653,-0.13984397,-0.03895429,0.03685214,0.10694002,0.16175856,0.21173913,0.2443131,0.27848384,0.31077621,0.34891248,0.37791088,0.40476152,0.40337366,0.40729207,0.40605253,0.40542823,0.4036136,0.40476502,0.4053093,0.40573842,0.42181441,0.4213539,0.40563373,0.39839814,0.39350975,0.37995935,0.38171289,0.36483332,0.37908754,0.38100577,0.38007408,0.38059786,0.38039696,0.38119472,0.38393022,0.38727155,0.38822031,0.40508176,0.42603632,0.44467681,0.4518757,0.46773257,0.46769522,0.48380643,0.48093019,0.47831438,0.4837812,0.48405451,0.48399834,0.48399324,0.48421191,0.49264526,0.48318746,0.4853181,0.49047814,0.49920601,0.49875178,0.4786365,0.48335218,0.49839813,0.48438885,0.48265212,0.49849452,-1.99806586,-1.82701521,-1.71310662,-1.86775817,-1.75114501,-1.81968301,-2.09260879,-2.11635308,-2.13365816,-2.22659639,-2.24433774,-2.29895153,-2.26508338,-2.44664582,-2.46877504,-2.40405524,-2.49183789,-2.41378729,-2.33611586,-2.31362334,-2.05788394,-2.09638852,-1.97144068,-1.89331201,-1.77412442,-1.63183824,-1.51440154,-1.43851484,-1.28684999,-1.1432689,-0.99495373,-0.89237506,-0.81375878,-0.76285459,-0.59637992,-0.42352825,-0.3033593,-0.14954506,-0.04637294,-0.02363745,0.06619046,0.30579287,0.32805814,0.43142323,0.63442023,0.82163987,0.98221011,1.05517723,1.13092867,1.3294109,1.32671411,1.22260225,1.49469192,1.54413622,1.57138024,1.76302507,1.65535589,1.77564333,2.03178995,2.16955967,2.19037092,2.16249569,2.25765286,2.42713087,2.65686255,2.67715969,2.57060436,2.55944675,2.89760844,2.75035683
-0.48823126,-0.47301295,-0.42210209,-0.3888441,-0.35365804,-0.30634306,-0.2297481,-0.14581221,-0.03663181,0.05217307,0.13307227,0.19986943,0.25342705,0.29096711,0.32644665,0.34817987,0.37151553,0.39326078,0.40975634,0.41374015,0.41553643,0.41093521,0.4103578,0.41373521,0.42236512,0.42919339,0.43680922,0.44847469,0.43977831,0.42401016,0.4231689,0.42350772,0.41984938,0.42944786,0.42317173,0.42839203,0.42204692,0.41994363,0.40986658,0.40810622,0.41143354,0.40679399,0.40290007,0.4042655,0.41648036,0.43041788,0.44977391,0.46038337,0.47304996,0.47424692,0.47947962,0.48248259,0.4861446,0.48968739,0.48276245,0.47037948,0.46243662,0.46844706,0.4759613,0.46992785,0.47079289,0.46762671,0.46183829,0.45866065,0.4479349,0.45102218,0.46130654,0.45612875,0.46060965,0.46382827,-1.25918951,-1.2947856,-1.30022508,-1.29872807,-1.3332578,-1.39162257,-1.47279684,-1.52828109,-1.64608147,-1.7438192,-1.79052873,-1.86050187,-1.93692497,-1.99422273,-1.98753509,-2.02181523,-2.0659591,-2.06280549,-2.01245733,-1.95870173,-1.9055739,-1.85479727,-1.79349268,-1.72830349,-1.64233181,-1.53918907,-1.46657069,-1.39115416,-1.2684352,-1.14145689,-1.0238553,-0.92625212,-0.84220815,-0.76728205,-0.65922337,-0.53438352,-0.41267866,-0.30491446,-0.20531583,-0.11420202,-0.01458702,0.10119346,0.22745593,0.33430035,0.45532269,0.53874397,0.6433912,0.75571653,0.83630393,0.91148602,0.99318175,1.05638094,1.16904645,1.24685877,1.33894607,1.38212001,1.44549588,1.52790348,1.64483912,1.73761327,1.82530505,1.93196318,1.98168683,2.03836641,2.09894761,2.13057282,2.18635497,2.15067489,2.17895165,2.18662711
